Id;choice;type;target;value;extra
32;right;stat;moral;15;
32;right;stat;security;-10;
32;both;unlock;power_arc;2;
33;left;stat;resources;30;
33;left;stat;influence;20;
33;right;stat;security;15;
33;both;unlock;power_arc;3;
34;left;stat;moral;25;
34;left;stat;security;-15;
34;right;stat;resources;15;
34;both;unlock;power_arc;4;
35;left;unlock;Authoritarian Ending;;
35;right;stat;moral;10;
35;right;stat;security;-10;
35;right;unlock;Unrest chain;;
36;left;stat;progress;15;
36;left;stat;security;-5;
36;right;stat;security;10;
37;left;stat;security;20;
37;left;stat;resources;-15;
37;right;stat;resources;10;
38;left;stat;resources;-10;
38;left;stat;security;10;
38;right;stat;resources;5;
38;right;stat;risk;1;
39;left;stat;security;15;
39;left;stat;resources;-10;
39;right;stat;resources;5;
40;left;stat;security;10;
40;left;stat;moral;-10;
40;right;stat;moral;10;
40;right;stat;security;-10;
41;left;stat;security;15;
41;left;stat;resources;-10;
41;right;stat;resources;5;
41;right;stat;security;-10;
42;left;stat;progress;15;
42;left;stat;resources;-15;
42;right;stat;security;5;
43;left;stat;resources;20;
43;left;stat;moral;-10;
43;right;stat;moral;5;
43;right;stat;progress;-5;
44;left;stat;moral;10;
44;left;stat;progress;10;
44;right;stat;resources;5;
45;left;stat;progress;15;
45;left;stat;risk;1;
45;right;stat;security;10;
46;left;stat;progress;15;
46;left;stat;resources;-10;
46;right;stat;resources;5;
47;left;unlock;New Worlds +1 (chain);;
47;left;stat;progress;15;
48;left;stat;progress;30;
48;left;stat;securit;10;
49;left;stat;progress;15;
49;left;stat;security;-5;
49;right;stat;security;5;
50;left;stat;progress;15;
50;left;stat;influence;10;
50;right;stat;security;10;
51;left;stat;progress;20;
51;left;stat;influence;20;
51;left;stat;security;-15;
51;right;stat;security;10;
51;right;stat;influence;-10;
51;both;unlock;ai_arc;1;
52;left;stat;resources;20;
52;left;stat;security;-10;
52;left;stat;influence;15;
52;right;stat;security;10;
52;right;stat;progress;-5;
52;both;unlock;ai_arc;2;
53;left;stat;security;20;
53;right;stat;moral;-15;
53;both;unlock;ai_arc;3;
54;left;stat;security;-10;
54;left;stat;moral;10;
54;left;stat;influence;20;
54;right;stat;security;10;
54;right;stat;progress;-10;
54;both;unlock;ai_arc;4;
55;left;stat;resources;15;
55;left;stat;influence;25;
55;right;stat;security;20;
55;right;stat;resources;-15;
55;both;unlock;ai_arc;5;
56;left;stat;security;-10;
56;right;stat;security;30;
56;right;stat;progress;-30;
56;both;unlock;ai_arc;6;
56;left;stat;AI Ending;;
57;left;stat;progress;25;
57;right;stat;security;10;
57;both;unlock;alien_arc;1;
58;left;stat;influence;20;
58;left;stat;security;-10;
58;right;stat;security;10;
58;both;unlock;alien_arc;2;
59;left;stat;progress;20;
59;left;stat;moral;-10;
59;right;stat;security;15;
59;both;unlock;alien_arc;3;
60;left;stat;resources;30;
60;left;stat;risk;1;
60;right;stat;security;10;
60;both;unlock;alien_arc;4;
61;left;unlock;Alien Ending 1;;
61;left;stat;moral;20;
61;right;stat;security;15;
62;left;unlock;Escape Ending 2;;
62;right;stat;security;30;
62;right;stat;resources;-30;
